0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:27 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:27 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:28 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:28 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:28 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:28 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:28 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:29 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:29 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:29 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:29 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:30 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:30 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:30 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:30 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:32 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:48 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:48 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:49 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:49 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:19:49 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:21:26 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:22:15 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:22:46 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:29 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:24:31 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:01 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:02 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:09:26:15 +0900] "GET /client/html/ex20_html5.html HTTP/1.1" 304 -
